taxon,common_names
Mops midas,"[{'taxonname': 'Midas Mops Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Midas Groove-cheeked Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Midas Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Midas Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Sundevall's Free-tailed Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Molosse Midas', 'primary': False, 'language': 'fre'}, {'taxonname': 'Molosse de Midas', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadarida de Midas', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadaride Midas', 'primary': False, 'language': 'fre'}]"
Mops niveiventer,"[{'taxonname': 'White-bellied Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'White-bellied Mops Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Tadaride à ventre blanc', 'primary': False, 'language': 'fre'}]"
Mops thersites,"[{'taxonname': 'Railer Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Railer Mops Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Tadaride de Railer', 'primary': False, 'language': 'eng'}]"
Otomops martiensseni,"[{'taxonname': 'Large-eared Free-tailed Bat', 'primary': True, 'language': 'eng'}, {'taxonname': ""Martienssen's Big-eared Bulldog Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Giant Mastiff Bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Martiensen's Free-tailed Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Martienssen Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Large-eared Giant Mastiff Bat', 'primary': False, 'language': 'eng'}]"
Tadarida aegyptiaca,"[{'taxonname': 'Egyptian Guano Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Egyptian Nyctinome', 'primary': False, 'language': 'eng'}, {'taxonname': 'Egyptian Free-tailed Bat', 'primary': True, 'language': 'eng'}]"
Tadarida fulminans,"[{'taxonname': 'Malagasy Free-tailed Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Madagascan Large Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lightning Guano Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Large Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Large Guano Bat', 'primary': False, 'language': 'eng'}]"
Tadarida ventralis,"[{'taxonname': 'African Giant Free-tailed Bat', 'primary': True, 'language': 'eng'}]"
Nycteris arge,"[{'taxonname': ""Bate's Slit-faced Bat"", 'primary': True, 'language': 'eng'}]"
Nycteris aurita,"[{'taxonname': ""Andersen's Slit-faced Bat"", 'primary': True, 'language': 'eng'}]"
Nycteris grandis,"[{'taxonname': 'Large Slit-faced Bat', 'primary': False, 'language': 'eng'}]"
Nycteris hispida,"[{'taxonname': 'Hairy Slit-faced Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Hairy Long-eared Bat', 'primary': False, 'language': 'eng'}]"
Nycteris intermedia,"[{'taxonname': 'Intermediate Slit-faced Bat', 'primary': True, 'language': 'eng'}]"
Nycteris macrotis,"[{'taxonname': 'Large-eared Slit-faced Bat', 'primary': False, 'language': 'eng'}]"
